分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 0, IPv4: 61, IPv6: 0, 最小延迟: 248 ms, 最高速率: 0.38 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 720x576, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 广西卫视, 有效: 1, IPv4: 96, IPv6: 0, 最小延迟: 242 ms, 最高速率: 0.83 MiB/s, 平均速率: 0.73 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.43, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 0, IPv4: 109, IPv6: 0, 最小延迟: 243 ms, 最高速率: 0.85 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 38.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 海南卫视, 有效: 0, IPv4: 26, IPv6: 0, 最小延迟: 247 ms, 最高速率: 0.18 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 河北卫视, 有效: 1, IPv4: 98, IPv6: 0, 最小延迟: 244 ms, 最高速率: 0.81 MiB/s, 平均速率: 0.72 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 35.42, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 河南卫视, 有效: 1, IPv4: 102, IPv6: 0, 最小延迟: 244 ms, 最高速率: 0.78 MiB/s, 平均速率: 0.78 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 40.38, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 1, IPv4: 91, IPv6: 0, 最小延迟: 244 ms, 最高速率: 0.61 MiB/s, 平均速率: 0.61 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.5, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 2, IPv4: 121, IPv6: 0, 最小延迟: 248 ms, 最高速率: 0.73 MiB/s, 平均速率: 0.61 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 35.23, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 江西卫视, 有效: 1, IPv4: 117, IPv6: 0, 最小延迟: 250 ms, 最高速率: 0.83 MiB/s, 平均速率: 0.83 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 1, IPv4: 118, IPv6: 0, 最小延迟: 248 ms, 最高速率: 0.55 MiB/s, 平均速率: 0.55 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 38.24, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 0, IPv4: 59, IPv6: 0, 最小延迟: 331 ms, 最高速率: 0.49 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 720x576, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 0, IPv4: 78, IPv6: 0, 最小延迟: 247 ms, 最高速率: 0.40 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
